,사업장명,인허가일자,폐업일자,좌표정보(X),좌표정보(Y)
296,롯데쇼핑(주) 롯데슈퍼 장안 2동점,20130814,20141231,206325.349431713,452184.2101607
297,롯데백화점 청량리플라자,19790913,20171227,203996.013917877,453058.665828669
298,제기시장,19630131,20150724,203009.188734992,453776.829188234
299,답십리중앙시장,19720901,20010502,205006.074911385,451814.33240199
300,홈플러스(주) 익스프레스 이문점,20110926,20140828,205403.77766039,455220.257356121
301,건강백화점 동의보감,20060424,20300101,203258.377206168,452834.064124525
302,바우하우스,20050429,20300101,206325.349431713,452184.2101607
303,트레지오,20070517,20300101,,
304,동성타워프라자,20010328,20300101,208520.092335397,456195.877460936
305,태능엔터피아 번영회,19750909,20300101,206771.217305763,455221.989517331
306,동원,19711210,20300101,207869.605609192,454173.313439431
307,홈플러스(주) 익스프레스 태릉점,20110704,20300101,206771.217305763,455221.989517331
308,홈플러스(주)익스프레스 면목점,20110809,20300101,207708.364765906,453525.741161528
309,홈플러스(주)익스프레스 망우점,20110809,20300101,208781.999418607,454740.62692431
310,(주)이마트에브리데이 면목동점,20120106,20300101,207553.170404939,453031.11581883
311,홈플러스 신내점,20060828,20300101,208208.786684767,457054.793655589
312,홈플러스(주)면목점,20061026,20300101,207089.21659098,453074.476763597
313,주식회사 이마트 상봉점,20000503,20300101,208183.558935157,454911.24852306
314,주식회사 이마트 묵동점,20100721,20300101,206777.731391054,456837.219624564
315,이노시티,20131128,20300101,208091.269167,455421.826575
316,홈플러스(주) 서울 상봉점,20101229,20300101,207923.745922676,455090.718335439
317,코스트코홀세일 상봉점,20010418,20300101,207897.260402153,454953.363448013
318,한남프라자,19950823,20121108,207590.031147049,454599.632823069
319,롯데쇼핑(주)롯데슈퍼 상봉점,20111007,20210331,206740.95977172,454517.575326381
320,신세계 이마트 묵동점,20100721,20300101,206777.731391054,456837.219624564
321,동소문스카이상가,20190524,20300101,200841.726990037,454721.505180141
322,길음시장,20190613,20300101,,
323,홈플러스익스프레스 보문점,20120521,20300101,201826.002331378,453162.376311852
324,홈플러스익스프레스 길음점,20120521,20300101,201592.991324089,456382.966061703
325,석관시장,20120601,20300101,205254.262597746,456319.556671704
326,보문시장(주),20120706,20300101,201858.488345,453868.720308
327,석관황금시장,20120806,20300101,205365.358044271,456371.165010395
328,동소문스카이상가,20121016,20300101,200841.726990037,454721.505180141
329,장위전통시장,20130114,20300101,204407.250844173,456638.194541249
330,이마트 미아점,20080529,20300101,202555.30089577,456503.066230481
331,이마트 하월곡점,20120224,20300101,202667.468802014,455858.920803881
332,(주)지에스리테일 성북보문점,20170426,20300101,201509.0,453158.0
333,보문시장,19611204,20300101,,
334,미아시장,19990225,20300101,,
335,석관시장,19990121,20300101,,
336,새석관시장,19710522,20300101,204582.680269555,456210.836257791
337,번동시장,19720930,20300101,204162.777672643,457664.961911112
338,길음시장,19880811,20300101,,
339,동소문스카이프라자,19951116,20300101,,
340,현대백화점 미아점,20010811,20300101,202466.801104742,456227.571665528
341,길음시장,20030210,20300101,201852.588541848,455598.947533777
342,신세계이마트미아점,20080529,20300101,202555.30089577,456503.066230481
343,이마트 미아점,20040922,20300101,202555.30089577,456508.495239726
344,종암우림카이저팰리스주상복합,20081027,20300101,202887.736215434,455516.20316339
345,이마트 미아점,20100428,20300101,202555.30089577,456503.066230481
346,홈플러스 월곡점,20100519,20300101,203502.004139568,455500.568972657
347,이마트 하월곡점,20100630,20300101,202667.468802014,455858.920803881
348,GS슈퍼마켓 동소문점,20110902,20300101,200841.726990037,454873.825379802
349,GS슈퍼마켓 돈암점,20110902,20300101,201501.474496909,455061.698603977
350,GS슈퍼마켓 길음뉴타운점,20120412,20300101,201514.982796105,456137.084315817
351,GS수퍼마켓 길음점,20120412,20300101,201517.385329678,456504.561867278
352,롯데슈퍼하월곡점,20120420,20300101,203353.798850162,455765.417145198
353,유타쇼핑몰,20120425,20300101,201447.418693099,454477.103343093
354,홈플러스익스프레스 삼선점,20120514,20300101,200509.660547343,453950.640893998
355,돈암시장,20090907,20300101,201336.750500414,454358.426908509
356,장위전통시장상인회,20140117,20300101,204407.250844173,456638.194541249
357,코코마트,19980522,20300101,204367.347787613,456732.945005445
358,코코마트,19940429,20300101,204367.347787613,456732.945005445
359,신세계백화점 미아점,19880514,20300101,202555.30089577,456503.066230481
360,길음시장,20030210,20300101,201876.521665604,455664.635302013
361,롯데마이슈퍼 길음점,20120521,20220223,201706.214048,456753.565643
362,장석시장,19680814,20080422,205020.608686581,456783.766604012
363,종암시장,19611224,20081006,,
364,돈암시장,19991207,20080107,,
365,롯데마이슈퍼 동소문점,20170427,20220223,201358.893989884,454439.085102224
366,수유시장,19661219,20300101,201956.180985499,458714.365820521
367,수유중앙시장,19711118,20300101,201812.904685238,459775.992830125
368,동북프라자,19750211,20300101,201589.777957863,457545.100871485
369,(주)농협유통 미아점,20120322,20300101,202266.448738483,457691.802407444
370,홈플러스(주)익스프레스미아점,20120322,20300101,202344.117949112,457986.172253906
371,북부시장,19710719,20300101,202608.934103734,459320.030764534
372,동북시장,19750211,20300101,201589.777957863,457545.100871485
373,우이시장,19620821,20300101,201692.868936629,460402.065518179
374,연이스퀘어,20141224,20300101,202615.0,456822.0
375,수유프라자,19980625,20300101,202000.513660624,458815.97773382
376,수유프라자,20031209,20300101,202000.513660624,458815.97773382
377,숭인시장,20030425,20300101,202558.581755334,456709.916330722
378,강북종합시장,20070713,20300101,202197.096261719,459964.530646857
379,수유북부시장,20080710,20300101,201354.553491054,459317.583083716
380,트레지오,20090910,20300101,202642.446045912,456636.308192293
381,강북종합시장,20110103,20300101,202197.096261719,459964.530646857
